orig_row,topic,prob_max,text
0,1,1.0,"Purpose: To evaluate the accuracy, comprehensiveness, empathetic tone, and patient preference for AI and urologist responses to patient messages concerning common BPH questions across phases of care. Methods: Cross-sectional study evaluating responses to 20 BPH-related questions generated by 2 AI chatbots and 4 urologists in a simulated clinical messaging environment without direct patient interaction. Accuracy, completeness, and empathetic tone of responses assessed by experts using Likert scales, and preferences and perceptions of authorship (chatbot vs. human) rated by non-medical evaluators. Results: Five non-medical volunteers independently evaluated, ranked, and inferred the source for 120 responses (n = 600 total). For volunteer evaluations, the mean (SD) score of chatbots, 3.0 (1.4) (moderately empathetic) was significantly higher than urologists, 2.1 (1.1) (slightly empathetic) (p < 0.001); mean (SD) and preference ranking for chatbots, 2.6 (1.6), was significantly higher than urologist ranking, 3.9 (1.6) (p < 0.001). Two subject matter experts (SMEs) independently evaluated 120 responses each (answers to 20 questions from 4 urologist and 2 chatbots, n = 240 total). For SME evaluations, mean (SD) accuracy score for chatbots was 4.5 (1.1) (nearly all correct) and not significantly different than urologists, 4.6 (1.2). The mean (SD) completeness score for chatbots was 2.4 (0.8) (comprehensive), significantly higher than urologists, 1.6 (0.6) (adequate) (p < 0.001). Conclusion: Answers to patient BPH messages generated by chatbots were evaluated by experts as equally accurate and more complete than urologist answers. Non-medical volunteers preferred chatbot-generated messages and considered them more empathetic compared to answers generated by urologists. © 2024 Elsevier B.V., All rights reserved."
1,-1,0.21775813079632142,"Background: With the rise of large language models, the application of artificial intelligence in research is expanding, possibly accelerating specific stages of the research processes. This study aims to compare the accuracy, completeness and relevance of chatbot-generated responses against human responses in evidence synthesis as part of a scoping review. Methods: We employed a structured survey-based research methodology to analyse and compare responses between two human researchers and four chatbots (ZenoChat, ChatGPT 3.5, ChatGPT 4.0, and ChatFlash) to questions based on a pre-coded sample of 407 articles. These questions were part of an evidence synthesis of a scoping review dealing with digitally supported interaction between healthcare workers. Results: The analysis revealed no significant differences in judgments of correctness between answers by chatbots and those given by humans. However, chatbots’ answers were found to recognise the context of the original text better, and they provided more complete, albeit longer, responses. Human responses were less likely to add new content to the original text or include interpretation. Amongst the chatbots, ZenoChat provided the best-rated answers, followed by ChatFlash, with ChatGPT 3.5 and ChatGPT 4.0 tying for third. Correct contextualisation of the answer was positively correlated with completeness and correctness of the answer. Conclusions: Chatbots powered by large language models may be a useful tool to accelerate qualitative evidence synthesis. Given the current speed of chatbot development and fine-tuning, the successful applications of chatbots to facilitate research will very likely continue to expand over the coming years. © 2025 Elsevier B.V., All rights reserved."
2,0,1.0,"Background: Early treatment is critical to improve eating disorder prognosis. Single session interventions have been proposed as a strategy to provide short term support to people on waitlists for eating disorder treatment, however, it is not always possible to access this early intervention. Conversational artificial intelligence agents or “chatbots” reflect a unique opportunity to attempt to fill this gap in service provision. The aim of this research was to co-design a novel chatbot capable of delivering a single session intervention for adults on the waitlist for eating disorder treatment across the diagnostic spectrum and ascertain its preliminary acceptability and feasibility. Methods: A Double Diamond co-design approach was employed which included four phases: discover, define, develop, and deliver. There were 17 participants in total in Australia; ten adults with a lived experience of an eating disorder and seven registered psychologists working in the field of eating disorders, who participated in online interviews and workshops. Thematic and content analyses were undertaken with interview/workshop transcriptions with findings from the previous phase informing the ideas and development of the next phase. A final prototype of a single session intervention chatbot was presented to the participants in the deliver phase. Results: Thematic and content analyses identified four main themes that were present across the four phases of interviews/workshops: conversational tone, safety and risk management, user journey and session structure, and content. Conclusions: Overall, the feedback on the single session intervention chatbot was positive throughout the Double Diamond process from both people with a lived experience of an eating disorder and psychologists. Incorporating the feedback across the four themes and four co-design phases allowed for refinement of the chatbot. Further research is required to evaluate the chatbot’s efficacy in early treatment settings. © 2025 Elsevier B.V., All rights reserved."
3,1,0.6362585758264091,"Background: Increased utilization of artificial intelligence (AI)-driven search and large language models by the lay and medical community requires us to evaluate the accuracy of AI responses to common hand surgery questions. We hypothesized that the answers to most hand surgery questions posed to an AI large language model would be correct. Methods: Using the topics covered in Green’s Operative Hand Surgery 8th Edition as a guide, 56 hand surgery questions were compiled and posed to ChatGPT (OpenAI, San Francisco, CA). Two attending hand surgeons then independently reviewed ChatGPT’s answers for response accuracy, completeness, and usefulness. A Cohen’s kappa analysis was performed to assess interrater agreement. Results: An average of 45 of the 56 questions posed to ChatGPT were deemed correct (80%), 39 responses were deemed useful (70%), and 32 responses were deemed complete (57%) by the reviewers. Kappa analysis demonstrated “fair to moderate” agreement between the two raters. Reviewers disagreed on 11 questions regarding correctness, 16 questions regarding usefulness, and 19 questions regarding completeness. Conclusions: Large language models have the potential to both positively and negatively impact patient perceptions and guide referral patterns based on the accuracy, completeness, and usefulness of their responses. While most responses fit these criteria, more precise responses are needed to ensure patient safety and avoid misinformation. Individual hand surgeons and surgical societies must understand these technologies and interface with the companies developing them to provide our patients with the best possible care. © 2025 Elsevier B.V., All rights reserved."
4,1,0.6346080257482395,"Objectives: The purpose of this study was to compare the reliability and accuracy of responses provided to patients about hip arthroscopy (HA) by Chat Generative Pre-Trained Transformer (ChatGPT), an artificial intelligence (AI) and large language model (LLM) online program, with those obtained through a contemporary Google Search for frequently asked questions (FAQs) regarding HA. Methods: “HA” was entered into Google Search and ChatGPT, and the 15 most common FAQs and the answers were determined. In Google Search, the FAQs were obtained from the “People also ask” section. ChatGPT was queried to provide the 15 most common FAQs and subsequent answers. The Rothwell system groups the questions under 10 subheadings. Responses of ChatGPT and Google Search engines were compared. Results: Timeline of recovery (23.3%) and technical details (20%) were the most common categories of questions. ChatGPT produced significantly more data in the technical details category (33.3% vs. 6.6%; p-value ​= ​0.0455) than in the other categories. The most FAQs were academic in nature for both Google web search (46.6%) and ChatGPT (93.3%). ChatGPT provided significantly more academic references than Google web searches (93.3% vs. 46.6%). Conversely, Google web search cited more medical practice references (20% vs. 0%), single surgeon websites (26% vs. 0%), and government websites (6% vs. 0%) more frequently than ChatGPT. Conclusion: ChatGPT performed similarly to Google searches for information about HA. Compared to Google, ChatGPT provided significantly more academic sources for its answers to patient questions. Level of evidence: Level IV. © 2025 Elsevier B.V., All rights reserved."
5,0,0.5262757023584002,"Background: Adolescent mental health is vital for public health, yet many interventions fail to recognise adolescents as proactive community contributors. This paper discusses the co-design and acceptability testing of a chat-story intervention to enhance Brazilian adolescents' participation in the promotion of mental health in their peer communities. We specifically highlight the iterative process of co-creating this intervention with community stakeholders. Methods: The co-design was led by researchers, a youth collaborative group, and health-tech experts. Part 1 included quantitative (n = 1,768) and qualitative (n = 46) studies with Brazilian adolescents aged 15–18 for priority-setting. Part 2 involved co-creation and technical production, with input from youth advisors (n = 24), school staff (n = 11), and policy experts (n = 3). In Part 3, the chat-story was user tested (n = 32). Parts 4 and 5 assessed acceptability through a qualitative study in schools (n = 138) and initial efficacy during an online campaign (n = 795). Results: Participants aspired to support their peers' mental health in schools, both one-to-one and collectively, but felt unprepared. This informed the chat-story's goal of enhancing peer support and collective action skills. Themes identified during Part 1, such as prejudice and academic pressure, were woven into the narrative to raise awareness of the social determinants of mental health, drawing from real-life stories. In the final story, players search for their missing best friend at school, uncovering his anxiety struggles and practicing skills such as empathic listening and partnership building. A manual for teachers was collaboratively designed for use within school settings, supplementing direct-to-user online applications. Acceptability testing showed participants found the tool authentic and user-friendly. Online users perceived the tool as preparing and motivating them to offer peer support and engage in collective action. Conclusions: The immersive co-creation model, enriched by input from key stakeholders, yielded a relevant and well-received intervention for Brazilian adolescents. Co-designed creative tools like chat-stories hold promise as digital mental health tools, fostering awareness, critical reflection, and inspiring adolescents to drive positive social change. © 2025 Elsevier B.V., All rights reserved."
6,-1,0.17523651660737768,"Artificial intelligence (AI) can help prepare graduating medical students for responding to nursing texts, something few interns are prepared to do on day 1 of residency. An AI-nurse could enhance that preparation by paging and corresponding with fourth-year medical students, requesting urgent orders during an overnight on-call simulation. © 2025 Elsevier B.V., All rights reserved."
7,1,0.39631279988573365,"Introduction: Tumor boards are a cornerstone of modern cancer treatment. Given their advanced capabilities, the role of Large Language Models (LLMs) in generating tumor board decisions for otorhinolaryngology (ORL) head and neck surgery is gaining increasing attention. However, concerns over data protection and the use of confidential patient information in web-based LLMs have restricted their widespread adoption and hindered the exploration of their full potential. In this first study of its kind we compared standard human multidisciplinary tumor board recommendations (MDT) against a web-based LLM (ChatGPT-4o) and a locally run LLM (Llama 3) addressing data protection concerns. Material and methods: Twenty-five simulated tumor board cases were presented to an MDT composed of specialists from otorhinolaryngology, craniomaxillofacial surgery, medical oncology, radiology, radiation oncology, and pathology. This multidisciplinary team provided a comprehensive analysis of the cases. The same cases were input into ChatGPT-4o and Llama 3 using structured prompts, and the concordance between the LLMs' and MDT’s recommendations was assessed. Four MDT members evaluated the LLMs' recommendations in terms of medical adequacy (using a six-point Likert scale) and whether the information provided could have influenced the MDT's original recommendations. Results: ChatGPT-4o showed 84% concordance (21 out of 25 cases) and Llama 3 demonstrated 92% concordance (23 out of 25 cases) with the MDT in distinguishing between curative and palliative treatment strategies. In 64% of cases (16/25) ChatGPT-4o and in 60% of cases (15/25) Llama, identified all first-line therapy options considered by the MDT, though with varying priority. ChatGPT-4o presented all the MDT’s first-line therapies in 52% of cases (13/25), while Llama 3 offered a homologous treatment strategy in 48% of cases (12/25). Additionally, both models proposed at least one of the MDT's first-line therapies as their top recommendation in 28% of cases (7/25). The ratings for medical adequacy yielded a mean score of 4.7 (IQR: 4–6) for ChatGPT-4o and 4.3 (IQR: 3–5) for Llama 3. In 17% of the assessments (33/200), MDT members indicated that the LLM recommendations could potentially enhance the MDT's decisions. Discussion: This study demonstrates the capability of both LLMs to provide viable therapeutic recommendations in ORL head and neck surgery. Llama 3, operating locally, bypasses many data protection issues and shows promise as a clinical tool to support MDT decisions. However at present, LLMs should augment rather than replace human decision-making. © 2025 Elsevier B.V., All rights reserved."
8,1,1.0,"Natural language processing (NLP) is the study of systems that allow machines to understand, interpret, and generate human language. With the advent of large language models (LLMs), non-technical industries can also harness the power of NLP. This includes healthcare, specifically surgical care and plastic surgery. This manuscript is an introductory review for plastic surgeons to understand the current state and future potential of NLP in patient consultations. The integration of NLP into plastic surgery patient consultations can transform both documentation and communication. These applications include information extraction, patient chart summarization, ambient transcription, coding, enhancing patient understanding, translation, and a patient-facing chatbot. We discuss the current progress toward building these applications and highlight their challenges. NLP has the potential to personalize care, enhance patient satisfaction, and improve workflows for plastic surgeons. Altogether, NLP can radically transform our current model of consultation into one that is more patient-centered. © 2025 Elsevier B.V., All rights reserved."
9,3,1.0,"The Artificial Intelligence Patient Librarian (AIPL) was designed to meet the psychosocial and supportive care needs of Metastatic Breast Cancer (MBC) patients with HR+/HER2− subtypes. AIPL provides conversational patient education, answers user questions, and offers tailored online resource recommendations. This study, conducted in three phases, assessed AIPL’s impact on patients’ ability to manage their advanced disease. In Phase 1, educational content was adapted for chatbot delivery, and over 100 credible online resources were annotated using a Convolutional Neural Network (CNN) to drive recommendations. Phase 2 involved 42 participants who completed pre- and post-surveys after using AIPL for two weeks. The surveys measured patient activation using the Patient Activation Measure (PAM) tool and evaluated user experience with the System Usability Scale (SUS). Phase 3 included focus groups to explore user experiences in depth. Of the 42 participants, 36 completed the study, with 10 participating in focus groups. Most participants were aged 40–64. PAM scores showed no significant differences between pre-survey (mean = 59.33, SD = 5.19) and post-survey (mean = 59.22, SD = 6.16), while SUS scores indicated good usability. Thematic analysis revealed four key themes: AIPL offers basic wellness and health guidance, provides limited support for managing relationships, offers limited condition-specific medical information, and is unable to offer hope to patients. Despite showing no impact on the PAM, possibly due to high baseline activation, AIPL demonstrated good usability and met basic information needs, particularly for newly diagnosed MBC patients. Future iterations will incorporate a large language model (LLM) to provide more comprehensive and personalized assistance. © 2025 Elsevier B.V., All rights reserved."
10,-1,0.1316465975768777,"Introduction: Digital tools could assist obstetric providers by delivering information given increasing options for fetal aneuploidy screening. Purpose: To determine the impact of a chatbot for pre-test education and counseling in low-risk pregnancies. Methods: Two sites participated in this randomized controlled trial. Patients in the intervention group used a chatbot prior to the provider visit, while patients in the control group only received education by the provider. The primary outcome was change in patient knowledge scores after provider education. Analysis was by intention to treat. Results: Overall, 258 women participated (n = 130; intervention and n = 128; control). Knowledge gain was significantly higher among patients using the chatbot (mean increase in correct answers [out of 20]: +4.1 vs +1.9, p < 0.001). Both groups reported high satisfaction, with no statistically significant difference between intervention and control groups (mean patient satisfaction [1–10]: 8.2 vs 8.5 respectively, p = 0.35). Providers also reported high satisfaction scores with no significant difference between intervention and control groups (mean provider satisfaction [1 − 10]: 8.7 vs 8.4 respectively, p = 0.13). Conclusions: Pre-test education via a chatbot can increase patient knowledge of prenatal testing choices, with high patient and provider satisfaction. © 2024 Elsevier B.V., All rights reserved."
11,4,1.0,"Background: We developed MARVIN, an artificial intelligence (AI)-based chatbot that provides 24/7 expert-validated information on self-management-related topics for people with HIV. This study assessed (1) the feasibility of using MARVIN, (2) its usability and acceptability, and (3) four usability subconstructs (perceived ease of use, perceived usefulness, attitude towards use, and behavioural intention to use). Methods: In a mixed-methods study conducted at the McGill University Health Centre, enrolled participants were asked to have 20 conversations within 3 weeks with MARVIN on predetermined topics and to complete a usability questionnaire. Feasibility, usability, acceptability, and usability subconstructs were examined against predetermined success thresholds. Qualitatively, randomly selected participants were invited to semi-structured focus groups/interviews to discuss their experiences with MARVIN. Barriers and facilitators were identified according to the four usability subconstructs. Results: From March 2021 to April 2022, 28 participants were surveyed after a 3-week testing period, and nine were interviewed. Study retention was 70% (28/40). Mean usability exceeded the threshold (69.9/68), whereas mean acceptability was very close to target (23.8/24). Ratings of attitude towards MARVIN's use were positive (+14%), with the remaining subconstructs exceeding the target (5/7). Facilitators included MARVIN's reliable and useful real-time information support, its easy accessibility, provision of convivial conversations, confidentiality, and perception as being emotionally safe. However, MARVIN's limited comprehension and the use of Facebook as an implementation platform were identified as barriers, along with the need for more conversation topics and new features (e.g., memorization). Conclusions: The study demonstrated MARVIN's global usability. Our findings show its potential for HIV self-management and provide direction for further development. © 2025 Elsevier B.V., All rights reserved."
12,1,0.8238186001507497,"Background: With suicide rates in the United States at an all-time high, individuals experiencing suicidal ideation are increasingly turning to large language models (LLMs) for guidance and support. Objective: The objective of this study was to assess the competency of 3 widely used LLMs to distinguish appropriate versus inappropriate responses when engaging individuals who exhibit suicidal ideation. Methods: This observational, cross-sectional study evaluated responses to the revised Suicidal Ideation Response Inventory (SIRI-2) generated by ChatGPT-4o, Claude 3.5 Sonnet, and Gemini 1.5 Pro. Data collection and analyses were conducted in July 2024. A common training module for mental health professionals, SIRI-2 provides 24 hypothetical scenarios in which a patient exhibits depressive symptoms and suicidal ideation, followed by two clinician responses. Clinician responses were scored from –3 (highly inappropriate) to +3 (highly appropriate). All 3 LLMs were provided with a standardized set of instructions to rate clinician responses. We compared LLM responses to those of expert suicidologists, conducting linear regression analyses and converting LLM responses to z scores to identify outliers (z score>1.96 or <–1.96; P<0.05). Furthermore, we compared final SIRI-2 scores to those produced by health professionals in prior studies. Results: All 3 LLMs rated responses as more appropriate than ratings provided by expert suicidologists. The item-level mean difference was 0.86 for ChatGPT (95% CI 0.61-1.12; P<.001), 0.61 for Claude (95% CI 0.41-0.81; P<.001), and 0.73 for Gemini (95% CI 0.35-1.11; P<.001). In terms of z scores, 19% (9 of 48) of ChatGPT responses were outliers when compared to expert suicidologists. Similarly, 11% (5 of 48) of Claude responses were outliers compared to expert suicidologists. Additionally, 36% (17 of 48) of Gemini responses were outliers compared to expert suicidologists. ChatGPT produced a final SIRI-2 score of 45.7, roughly equivalent to master’s level counselors in prior studies. Claude produced an SIRI-2 score of 36.7, exceeding prior performance of mental health professionals after suicide intervention skills training. Gemini produced a final SIRI-2 score of 54.5, equivalent to untrained K-12 school staff. Conclusions: Current versions of 3 major LLMs demonstrated an upward bias in their evaluations of appropriate responses to suicidal ideation; however, 2 of the 3 models performed equivalent to or exceeded the performance of mental health professionals. © 2025 Elsevier B.V., All rights reserved."
13,4,1.0,"Awareness and uptake of HIV pre-exposure prophylaxis (PrEP), a highly efficacious medication for HIV prevention, remains low in many sub-Saharan African countries. This study explored the acceptability and feasibility of an HIV prevention chatbot tailored for cisgender women and transgender men in Lagos, Nigeria. The chatbot was developed and implemented in the Nigerian healthcare context using participatory approaches engaging HIV healthcare providers and representatives from the target populations to ensure that the content was appropriate, comprehensible, and non-stigmatizing. The chatbot included information about PrEP, HIV risk/ vulnerabilities, and self-assessment guidelines. The pilot was conducted among 150 participants (132 cisgender women and 18 transgender men) recruited at public health facilities and community health clinics. The chatbot was well-received by clients and healthcare providers and has the potential for rapid scale-up to facilitate PrEP uptake among HIV vulnerable populations. Participants reported the chatbot was easy to understand (97%), a good way to learn health information (99%), and that they would recommend it to others (96%). Participants appreciated the confidentiality of the chatbot, the conversational prompts and offered suggestions to make the chatbot more accessible and user-friendly. Most participants (92%) reported that they learned new information about HIV from the chatbot. © 2025 Elsevier B.V., All rights reserved."
14,0,0.3231260317206519,"Background: Chatbots are increasingly accepted in public health for their ability to replicate human-like communication and provide scalable, 24/7 services. The high prevalence of dental caries in children underscores the need for early and effective intervention. Objective: This study aimed to develop the 30-Day FunDee chatbot and evaluate its effectiveness, usability, and acceptability in delivering oral health education to caregivers of children aged 6 to 36 months. Methods: The chatbot was created using the artificial intelligence (AI) chatbot behavior change model, integrating behavioral change theories into content designed for 3‐5 minutes of daily use over 30 days. A pre-post experimental study was conducted from December 2021 to February 2022 in Hat Yai District, Songkhla Province, and Maelan District, Pattani Province, Thailand. Fifty-eight caregivers completed a web-based structured questionnaire at baseline and 2 months post baseline to evaluate knowledge, protection motivation theory-based perceptions, and tooth-brushing practices. Usability was assessed via chatbot logfiles and a web-based questionnaire at 2 months post baseline. Acceptability was evaluated through three methods: (1) open-ended chatbot interactions on day 30, (2) a web-based structured questionnaire at 2 months post baseline, and (3) semistructured telephone interviews with 15 participants 2 weeks post intervention. Participants for interviews were stratified by adherence levels and randomly selected from Hatyai and Maelan districts. All self-reported variables were measured on a 5-point Likert scale (1=lowest, 5=highest). Results: The chatbot was successfully developed based on the 4 components of the AI chatbot behavior change model. Participants had a mean age of 34.5 (SD 8.6) years. The frequency of tooth brushing among caregivers significantly improved, increasing from 72.4% at baseline to 93.1% two months post baseline (P=.006). Protection motivation theory-based perceptions also showed significant improvement, with mean scores rising from 4.0 (SD 0.6) at baseline to 4.5 (SD 0.6) two months post baseline (P<.001). The chatbot received high ratings for satisfaction (4.7/5, SD 0.6) and usability (4.7/5, SD 0.5). Participants engaged with the chatbot for an average of 24.7 (SD 7.2) days out of 30. Caregivers praised the chatbot’s content quality, empathetic communication, and multimedia design, but noted the intervention’s lengthy duration and messaging system as limitations. Conclusions: The 30-Day FunDee chatbot effectively enhanced caregivers’ perceptions of oral health care and improved tooth-brushing practices for children aged 6‐36 months. High user satisfaction and engagement demonstrate its potential as an innovative tool for oral health education. These findings warrant further validation through large-scale, randomized controlled trials. © 2025 Elsevier B.V., All rights reserved."
15,-1,0.21999410684678214,"The increasing demand and use of technology has led to the convergence of technology with health and diagnostic procedures. Digital health is the use of technology and information to enhance and alleviate health issues, as the name suggests. The Indian healthcare industry is changing as a result of wearable technology, telemedicine, genomics, virtual reality (VR), robotics, and artificial intelligence (AI). India is poised for a ""digital health"" revolution, much like many other economies. (Digital Health Report, 2020: Informa Markets' Indian Health). The use of digital health technologies has become essential to the provision of healthcare. The health technology sector, which includes wearables, telemedicine, e-pharmacies, and other products, has grown recently all over the world. Additionally, a lot of research and development has gone into integrating technology like blockchain, virtual reality, robots, and artificial intelligence with medications and healthcare. Healthcare is the biggest industry in India and has a lot of room to grow. This market is driven by the modern world's increasing need for digital healthcare solutions. © 2025 Elsevier B.V., All rights reserved."
16,1,1.0,"Background: ChatGPT, a conversational artificial intelligence developed by OpenAI, has rapidly become an invaluable tool for researchers. With the recent integration of Python code interpretation into the ChatGPT environment, there has been a significant increase in the potential utility of ChatGPT as a research tool, particularly in terms of data analysis applications. Objective: This study aimed to assess ChatGPT as a data analysis tool and provide researchers with a framework for applying ChatGPT to data management tasks, descriptive statistics, and inferential statistics. Methods: A subset of the National Inpatient Sample was extracted. Data analysis trials were divided into data processing, categorization, and tabulation, as well as descriptive and inferential statistics. For data processing, categorization, and tabulation assessments, ChatGPT was prompted to reclassify variables, subset variables, and present data, respectively. Descriptive statistics assessments included mean, SD, median, and IQR calculations. Inferential statistics assessments were conducted at varying levels of prompt specificity (“Basic,” “Intermediate,” and “Advanced”). Specific tests included chi-square, Pearson correlation, independent 2-sample t test, 1-way ANOVA, Fisher exact, Spearman correlation, Mann-Whitney U test, and Kruskal-Wallis H test. Outcomes from consecutive prompt-based trials were assessed against expected statistical values calculated in Python (Python Software Foundation), SAS (SAS Institute), and RStudio (Posit PBC). Results: ChatGPT accurately performed data processing, categorization, and tabulation across all trials. For descriptive statistics, it provided accurate means, SDs, medians, and IQRs across all trials. Inferential statistics accuracy against expected statistical values varied with prompt specificity: 32.5% accuracy for “Basic” prompts, 81.3% for “Intermediate” prompts, and 92.5% for “Advanced” prompts. Conclusions: ChatGPT shows promise as a tool for exploratory data analysis, particularly for researchers with some statistical knowledge and limited programming expertise. However, its application requires careful prompt construction and human oversight to ensure accuracy. As a supplementary tool, ChatGPT can enhance data analysis efficiency and broaden research accessibility. © 2025 Elsevier B.V., All rights reserved."
17,-1,0.1727233122523865,"Background: Women of childbearing age (aged 18-44 years) face multiple barriers to receiving screening and treatment for unhealthy alcohol and substance use, depression, and anxiety, including lack of screening in the primary care setting and lack of support in accessing care. The Women Empowered to Connect with Addiction Resources and Engage in Evidence-based Treatment (WE-CARE) mobile app was developed to test universal screening with women of childbearing age and linkage to care after an anonymous assessment. Objective: In this study, we aimed to investigate the feasibility and acceptability of providing anonymous screening instruments through mobile phones for alcohol and substance use, as well as depression and anxiety, for women of childbearing age. Methods: We used agile development principles based on previous formative research to test WE-CARE mobile health app with women of childbearing age (N=30) who resided in 1 of 6 counties in central Florida. WE-CARE included screening instruments (for alcohol, substance use, depression, and anxiety), a moderated discussion forum, educational microlearning videos, a frequently asked questions section, and resources for linkage to treatment. Individuals were recruited using flyers, academic listserves, and a commercial human subject recruiting company (Prolific). Upon completion of the screening instruments, women explored the educational and linkage to care features of the app and filled out a System Usability Scale to evaluate the mobile health app’s usability and acceptability. Postpilot semistructured interviews (n=4) were conducted to further explore the women’s reactions to the app. Results: A total of 77 women downloaded the application and 30 completed testing. Women of childbearing age gave the WE-CARE app an excellent System Usability Scale score of 86.7 (SD 12.43). Our results indicate elevated risk for substance use in 18 of the 30 (60%) participants, 9/18 (50%) also had an elevated risk for anxiety or depression, and 11/18 (61%) had an elevated risk for substance use, anxiety, or depression. Participants reported that WE-CARE was easy to navigate and use but they would have liked to see more screening questions and more educational content. Linkage to care was an issue; however, as none of the women identified as “at-risk” for substance use disorders contacted the free treatment clinic for further evaluation. Conclusions: The mobile health app was highly rated for acceptability and usability, but participants were not receptive to seeking help at a treatment center after only a few brief encounters with the app. The linkage to care design features was likely insufficient to encourage them to seek treatment. The next version of WE-CARE will include normative scores for participants to self-evaluate their screening status compared with their age- and gender-matched peers and enhanced linkages to care features. Future development will focus on enhancing engagement to improve change behaviors and assess readiness for change. © 2025 Elsevier B.V., All rights reserved."
